url,brand,name,sizes,image_article,status
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-alpine-start-hoody-black-FS526679,black-diamond,Black Diamond Men&#x27;s Alpine Start Hoody Black | Fjellsport.no,S;M;L;XL,black-diamond-men-s-alpine-start-hoody-black,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-alpine-start-hoody-amber-FS590684,black-diamond,Black Diamond Men&#x27;s Alpine Start Hoody Amber | Fjellsport.no,S;M;L;XL,742015-2007-men-s-alpine-start-hoody-amber-01-19669,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-alpine-start-hoody-black-FS526684,black-diamond,Black Diamond W Alpine Start Hoody Black | Fjellsport.no,S;M;L,742016-0002-w-alpine-start-hoody-black-01-56402,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-alpine-start-hoody-agave-FS590686,black-diamond,Black Diamond W Alpine Start Hoody Agave | Fjellsport.no,S;M;L,742016-3061-women-s-alpine-start-hoody-agave-01-75263,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-fineline-stretch-shell-black-FS526732,black-diamond,Black Diamond M Fineline Stretch Shell Black | Fjellsport.no,S;M;L;XL,745038-0002-M%20FINELINE%20STRETCH%20SHELL-Black-01-,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-fineline-stretch-shell-creek-blue-FS526733,black-diamond,Black Diamond M Fineline Stretch Shell Creek Blue | Fjellsport.no,S;M;L;XL,745038-4064-m-fineline-stretch-shell-creek-blue-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-m-fineline-stretch-shell-saffron-FS662771,black-diamond,Black Diamond M Fineline Stretch Shell Saffron | Fjellsport.no,S;M;L;XL,745038-8012-m-fineline-stretch-shell-saffron-01-0b167162-caa3-4132-ba3d-87152241d1d9-kopiera,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-fineline-stretch-shell-black-FS526738,black-diamond,Black Diamond W Fineline Stretch Shell Black | Fjellsport.no,XS;S;M;L,745041-0002-w-fineline-stretch-shell-black-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-fineline-stretch-shell-agave-FS590694,black-diamond,Black Diamond W Fineline Stretch Shell Agave | Fjellsport.no,XS;S;M;L,745041-3061-women-s-fineline-stretch-shell-agave-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-dirtbag-pants-flax-FS526757,black-diamond,Black Diamond W Dirtbag Pants Flax | Fjellsport.no,XS;S;M;L;XL,750117-2021-w-dirtbag-pants-flax-01,ok
https://www.fjellsport.no/merker/black-diamond/black-diamond-w-dirtbag-pants-dark-moss-637196,black-diamond,Black Diamond W Dirtbag Pants Dark Moss | Fjellsport.no,XS;S;M;L,750117-3004-w-dirtbag-pants-dark-moss-01,ok
